epoch,accuracy,loss,val_accuracy,val_loss
0,0.5321701169013977,0.9300307631492615,0.6383442282676697,0.6556833386421204
1,0.5643402338027954,0.8156790137290955,0.6405228972434998,0.65826016664505
2,0.5681570172309875,0.7688499689102173,0.6427015066146851,0.6645233631134033
3,0.5648854970932007,0.7577438950538635,0.655773401260376,0.645378053188324
4,0.5861504673957825,0.728049099445343,0.657952070236206,0.6321808099746704
5,0.5970556139945984,0.7001401782035828,0.6644880175590515,0.6224027276039124
6,0.6068702340126038,0.6901181936264038,0.6753812432289124,0.6189019083976746
7,0.6057797074317932,0.692221999168396,0.6775599122047424,0.6092644333839417
8,0.6134133338928223,0.6818229556083679,0.671023964881897,0.6073857545852661
9,0.6319519877433777,0.6603589653968811,0.6797385811805725,0.605458676815033
10,0.6303162574768066,0.6624622344970703,0.6949890851974487,0.6016572117805481
11,0.6308615207672119,0.6677755117416382,0.686274528503418,0.5999717712402344
12,0.6308615207672119,0.6506337523460388,0.6906318068504333,0.5990439057350159
13,0.6461286544799805,0.6459062099456787,0.6971677541732788,0.5977123379707336
14,0.612868070602417,0.6678491234779358,0.6906318068504333,0.594221293926239
15,0.6559432744979858,0.6471525430679321,0.6949890851974487,0.5949937105178833
16,0.6444929242134094,0.6399891376495361,0.6993464231491089,0.5936623215675354
17,0.6537622809410095,0.6368473768234253,0.6971677541732788,0.590610682964325
18,0.6570338010787964,0.6355328559875488,0.7037037014961243,0.5909519791603088
19,0.6466739177703857,0.6404204964637756,0.6971677541732788,0.5887182354927063
20,0.6766630411148071,0.6175740361213684,0.7015250325202942,0.5888229608535767
21,0.6701199412345886,0.6204040050506592,0.6906318068504333,0.5936596393585205
22,0.6641221642494202,0.6321435570716858,0.6949890851974487,0.5880807042121887
23,0.6793892979621887,0.6188861131668091,0.7015250325202942,0.5894429087638855
24,0.6690294146537781,0.6178168654441833,0.6949890851974487,0.5884562134742737
25,0.667393684387207,0.6258625984191895,0.6928104758262634,0.5942379236221313
26,0.6695746779441833,0.6133533120155334,0.6797385811805725,0.5925371646881104
27,0.674481987953186,0.6164947152137756,0.6971677541732788,0.5897029638290405
28,0.667393684387207,0.6169611811637878,0.6993464231491089,0.5896831750869751
29,0.6777535676956177,0.6084351539611816,0.6949890851974487,0.588033139705658
30,0.6777535676956177,0.6102200150489807,0.7015250325202942,0.585066020488739
31,0.6815703511238098,0.609306812286377,0.6928104758262634,0.5864038467407227
32,0.6821156144142151,0.6067000031471252,0.6928104758262634,0.5825119614601135
33,0.6930207014083862,0.5937586426734924,0.6949890851974487,0.5843191146850586
34,0.6793892979621887,0.6053975820541382,0.7080609798431396,0.5867717266082764
35,0.6837513446807861,0.6011983752250671,0.7015250325202942,0.5853620171546936
36,0.6815703511238098,0.5962057709693909,0.6949890851974487,0.588528573513031
37,0.685387134552002,0.5998262763023376,0.7080609798431396,0.5901227593421936
38,0.7044711112976074,0.5822632312774658,0.6993464231491089,0.5813809037208557
39,0.6968374848365784,0.583142101764679,0.7015250325202942,0.58267742395401
40,0.7044711112976074,0.582838773727417,0.6949890851974487,0.5822108387947083
41,0.707197368144989,0.5872030854225159,0.7037037014961243,0.5820415616035461
42,0.6957470178604126,0.5771870017051697,0.6840958595275879,0.5891077518463135
43,0.6919302344322205,0.5831636786460876,0.6884531378746033,0.5843886137008667
44,0.7099236845970154,0.5646315813064575,0.6949890851974487,0.5827769041061401
45,0.7006543278694153,0.5879911184310913,0.6884531378746033,0.5787214636802673
46,0.7011995911598206,0.5902804732322693,0.686274528503418,0.5801329016685486
47,0.7208287715911865,0.5717952847480774,0.6753812432289124,0.5879109501838684
48,0.712649941444397,0.5684393048286438,0.6906318068504333,0.5872128009796143
49,0.7099236845970154,0.5774074196815491,0.686274528503418,0.5933123826980591
50,0.7202835083007812,0.5609298348426819,0.686274528503418,0.5888345241546631
51,0.7284623980522156,0.5574384927749634,0.6949890851974487,0.5972612500190735
52,0.7153761982917786,0.5654300451278687,0.6840958595275879,0.589036226272583
53,0.7284623980522156,0.5571111440658569,0.6884531378746033,0.5929449796676636
54,0.7284623980522156,0.5522964000701904,0.686274528503418,0.5959389805793762
55,0.7257360816001892,0.5634410977363586,0.6949890851974487,0.589844822883606
56,0.7039258480072021,0.5751121640205383,0.6949890851974487,0.5878835916519165
57,0.7230098247528076,0.5522147417068481,0.6753812432289124,0.5992661714553833
58,0.7339149117469788,0.5476225018501282,0.6928104758262634,0.5983608961105347
59,0.7191930413246155,0.5551498532295227,0.6906318068504333,0.6002206206321716
60,0.7235550880432129,0.5475777387619019,0.6797385811805725,0.6040439605712891
61,0.7322791814804077,0.5549574494361877,0.686274528503418,0.5929621458053589
62,0.7355507016181946,0.5408104658126831,0.686274528503418,0.5891857743263245
63,0.7202835083007812,0.5590810179710388,0.6688452959060669,0.6004520058631897
64,0.7246455550193787,0.5336745977401733,0.6688452959060669,0.600784420967102
65,0.7442747950553894,0.5254508256912231,0.673202633857727,0.6102810502052307
66,0.7393674850463867,0.5371384620666504,0.673202633857727,0.6146758198738098
67,0.7486368417739868,0.5244389772415161,0.671023964881897,0.6288384199142456
68,0.7388222217559814,0.5226590633392334,0.655773401260376,0.6079911589622498
69,0.7355507016181946,0.5214719176292419,0.6514161229133606,0.5963103771209717
70,0.7557252049446106,0.5284174680709839,0.6601307392120361,0.612427294254303
71,0.7470011115074158,0.5369892716407776,0.6623093485832214,0.6129369735717773
72,0.7388222217559814,0.5297667980194092,0.6797385811805725,0.6198894381523132
73,0.7486368417739868,0.5166884064674377,0.673202633857727,0.6178811192512512
